open,high,low,close
1240.84,1240.92,1240.32,1240.65
1240.65,1240.65,1239.63,1239.67
1239.7,1240.28,1239.64,1240.05
1240.06,1240.24,1239.2,1239.47
1239.47,1240.04,1239.47,1239.94
1239.96,1240.04,1239.4,1239.45
1239.45,1239.55,1235.35,1235.5
1235.5,1236.76,1234.79,1234.82
1234.82,1235.62,1233.07,1235.55
1235.53,1235.73,1233.76,1234.79
1234.82,1236.21,1234.58,1236.15
1236.15,1236.44,1235.51,1236.17
1236.18,1236.21,1235.35,1235.52
1235.52,1236.36,1235.05,1235.66
1235.66,1236.08,1235.08,1235.22
1235.12,1235.23,1234.65,1235.14
1235.14,1235.14,1233.34,1233.45
1233.45,1234.38,1232.48,1233.86
1233.86,1234.78,1233.78,1234.32
1234.32,1234.7,1230.0,1231.05
1231.05,1231.1,1227.31,1228.33
1227.94,1229.18,1225.78,1227.37
1227.38,1229.54,1225.67,1228.52
1228.52,1232.09,1228.05,1232.04
1232.04,1232.04,1228.94,1229.44
1229.5,1230.04,1228.55,1228.85
1228.85,1229.46,1226.89,1227.68
1227.58,1232.25,1227.58,1231.06
1231.07,1231.39,1229.39,1230.12
1230.14,1230.48,1227.66,1228.09
1228.09,1229.27,1227.57,1228.18
1228.18,1228.86,1227.1,1227.98
1227.98,1228.14,1226.1,1226.81
1226.79,1228.62,1226.79,1228.23
1228.23,1229.46,1227.56,1227.71
1227.69,1229.14,1227.66,1228.73
1228.78,1228.92,1227.24,1227.5
1228.04,1229.04,1227.98,1228.21
1228.2,1228.37,1227.9,1228.03
1228.08,1228.67,1227.54,1228.23
1228.23,1228.82,1227.9,1228.29
1228.38,1228.83,1227.98,1228.34
1228.5,1228.83,1228.12,1228.64
1228.64,1228.66,1227.86,1228.47
1228.47,1228.66,1228.16,1228.37
1228.34,1228.47,1227.99,1228.3
1228.3,1228.4,1228.0,1228.12
1228.12,1228.39,1226.8,1226.8
1226.8,1228.77,1226.8,1228.67
1228.67,1232.41,1228.41,1231.61
1231.61,1234.85,1231.54,1232.47
1232.49,1234.02,1232.14,1232.36
1232.36,1234.98,1231.49,1233.2
1233.2,1234.38,1232.4,1232.69
1232.66,1233.37,1231.61,1231.9
1231.9,1232.54,1231.23,1232.36
1232.36,1233.84,1231.89,1233.62
1233.62,1233.66,1232.55,1232.96
1232.96,1233.49,1232.26,1233.14
1233.13,1233.27,1232.53,1233.18
1233.18,1235.58,1233.18,1234.45
1234.45,1234.7,1233.81,1234.51
1234.51,1234.56,1233.01,1233.71
1233.71,1233.93,1232.51,1232.84
1232.84,1232.88,1231.65,1231.91
1231.91,1234.09,1230.2,1231.71
1231.71,1233.23,1227.93,1229.33
1229.33,1230.23,1226.62,1228.08
1228.15,1229.4,1226.95,1227.58
1227.58,1229.07,1226.38,1228.82
1228.82,1230.1,1228.2,1228.37
1228.39,1229.26,1227.28,1229.05
1229.05,1229.89,1228.32,1228.41
1228.41,1228.66,1227.32,1228.06
1228.11,1228.48,1227.7,1228.04
1228.04,1228.15,1226.05,1226.68
1226.68,1228.56,1226.68,1228.37
1228.26,1228.38,1227.48,1228.13
1228.13,1228.73,1227.56,1228.66
1228.66,1230.04,1228.62,1229.55
1229.55,1229.86,1229.05,1229.29
1229.29,1229.59,1228.66,1228.66
1228.76,1229.18,1227.5,1227.53
1225.21,1227.0,1224.77,1226.9
1226.91,1227.51,1226.21,1227.41
1227.41,1229.56,1226.92,1229.13
1229.13,1234.71,1228.9,1234.62
1234.62,1234.71,1230.9,1231.34
1231.34,1232.49,1231.25,1232.47
1232.47,1232.47,1229.87,1230.1
1230.1,1231.24,1230.09,1231.22
1231.22,1231.42,1230.32,1231.03
1231.02,1231.56,1230.59,1230.64
1230.64,1230.72,1230.2,1230.52
1230.52,1231.01,1230.12,1230.43
1230.43,1230.8,1230.05,1230.46
1230.46,1231.68,1230.28,1231.5
1231.5,1231.5,1230.7,1231.11
1231.11,1231.12,1228.8,1229.77
1229.75,1230.43,1229.42,1230.14
1230.17,1230.76,1229.51,1229.77
1229.77,1231.02,1229.44,1230.92
1230.91,1232.06,1230.29,1231.5
1231.5,1231.8,1230.7,1230.77
1230.77,1230.97,1230.01,1230.6
1230.63,1230.73,1229.12,1229.68
1229.7,1233.45,1229.61,1232.87
1232.89,1236.51,1232.86,1235.12
1235.08,1235.23,1233.59,1233.59
1233.6,1234.99,1232.42,1232.43
1232.45,1233.03,1231.96,1232.34
1232.34,1234.43,1231.52,1232.0
1232.0,1232.59,1229.82,1230.3
1230.3,1231.16,1229.54,1229.98
1229.98,1230.18,1228.67,1229.79
1229.81,1231.02,1228.82,1229.75
1229.75,1229.83,1227.45,1228.23
1228.25,1229.11,1227.95,1228.54
1228.5,1228.51,1227.4,1227.52
1227.52,1227.84,1227.0,1227.74
1227.74,1227.84,1226.42,1227.11
1227.11,1227.98,1226.38,1227.08
1227.08,1227.24,1226.12,1226.62
1226.68,1227.74,1226.51,1227.32
1227.32,1228.81,1227.31,1228.32
1228.32,1228.37,1227.11,1227.71
1227.71,1228.11,1226.71,1227.03
1227.03,1227.3,1226.61,1226.7
1226.7,1226.7,1225.95,1225.95
1226.12,1227.38,1225.53,1226.92
1226.93,1227.06,1226.4,1226.45
1226.45,1228.11,1226.45,1228.02
1228.02,1228.42,1227.51,1227.77
1227.77,1228.55,1227.06,1227.26
1227.26,1227.48,1226.35,1227.18
1227.18,1227.73,1226.66,1226.92
1226.92,1228.55,1226.46,1228.45
1228.45,1228.47,1227.63,1228.18
1228.13,1228.57,1227.9,1228.4
1228.4,1228.52,1227.89,1228.21
1228.21,1228.51,1227.79,1228.09
1228.09,1228.32,1227.67,1227.78
1227.81,1228.09,1227.57,1227.67
1227.67,1227.71,1225.5,1226.49
1226.42,1227.4,1226.16,1227.05
1226.95,1227.12,1223.81,1224.51
1224.49,1228.4,1224.23,1227.86
1227.86,1228.1,1226.56,1226.83
1226.83,1227.33,1225.6,1226.85
1226.85,1226.95,1225.15,1225.57
1225.57,1225.98,1224.77,1224.77
1224.77,1225.58,1224.57,1225.11
1225.17,1225.22,1224.58,1225.06
1225.06,1225.18,1224.59,1224.85
1224.85,1225.66,1223.93,1225.54
1225.54,1226.43,1225.44,1225.72
1225.65,1225.73,1223.44,1223.67
1223.67,1224.21,1222.01,1222.62
1222.61,1222.61,1219.66,1221.25
1221.22,1221.69,1220.3,1220.68
1220.68,1220.93,1219.2,1220.23
1220.28,1220.62,1216.28,1217.59
1217.66,1218.55,1216.68,1218.06
1218.07,1218.44,1217.35,1217.78
1217.78,1218.52,1216.68,1217.15
1217.16,1218.12,1216.87,1217.66
1217.66,1217.78,1215.64,1217.15
1217.25,1217.25,1214.82,1216.14
1216.1,1216.68,1215.19,1216.19
1216.19,1216.66,1214.29,1215.87
1215.87,1216.33,1214.39,1216.25
1216.25,1217.22,1215.93,1217.18
1217.18,1221.42,1217.05,1219.81
1219.81,1223.99,1219.4,1221.41
1221.41,1221.9,1219.87,1219.87
1221.86,1222.46,1220.45,1222.12
1222.12,1223.8,1221.83,1223.74
1223.74,1224.6,1223.59,1224.28
1224.28,1224.38,1222.68,1223.38
1223.38,1223.48,1222.14,1222.8
1222.8,1223.35,1222.26,1223.25
1223.25,1223.28,1220.72,1221.29
1221.29,1222.02,1221.29,1221.7
1221.7,1222.5,1221.6,1222.41
1222.41,1222.71,1221.91,1222.0
1222.0,1222.63,1221.92,1222.49
1222.49,1223.14,1222.18,1222.38
1222.38,1223.88,1222.38,1223.16
1223.16,1223.16,1222.28,1222.28
1222.28,1222.47,1221.98,1222.13
1222.13,1222.35,1221.66,1222.35
1222.33,1222.64,1221.36,1221.65
1221.64,1221.74,1220.71,1221.55
1221.55,1221.89,1220.85,1221.05
1221.05,1222.72,1220.83,1222.72
1222.72,1225.28,1222.72,1223.59
1223.59,1223.77,1222.42,1223.07
1223.08,1223.92,1222.16,1222.87
1222.87,1223.49,1222.45,1223.46
1223.37,1223.83,1222.93,1223.34
1223.34,1225.63,1223.14,1224.61
1224.62,1225.32,1223.72,1223.82
1223.82,1224.12,1222.83,1223.61
1223.61,1223.9,1222.05,1222.55
1222.55,1223.6,1221.33,1223.38
1223.38,1225.33,1223.11,1223.37
1223.49,1223.98,1222.56,1223.88
